DATE,PSAVE
2002-07-01,453.216
2002-10-01,466.828
2003-01-01,432.595
2003-04-01,447.113
2003-07-01,491.237
2003-10-01,455.674
2004-01-01,423.485
2004-04-01,470.5
2004-07-01,435.381
2004-10-01,452.39
2005-01-01,281.873
2005-04-01,265.648
2005-07-01,231.449
2005-10-01,293.048
2006-01-01,386.612
2006-04-01,372.27
2006-07-01,326.615
2006-10-01,349.116
2007-01-01,369.325
2007-04-01,382.967
2007-07-01,337.648
2007-10-01,320.714
2008-01-01,366.923
2008-04-01,567.518
2008-07-01,433.014
2008-10-01,645.953
2009-01-01,640.657
2009-04-01,753.153
2009-07-01,562.239
2009-10-01,602.626
2010-01-01,634.302
2010-04-01,735.353
2010-07-01,740.45
2010-10-01,727.15
2011-01-01,811.435
2011-04-01,780.664
2011-07-01,807.134
2011-10-01,824.779
2012-01-01,975.527
2012-04-01,1068.078
2012-07-01,970.715
2012-10-01,1277.959
2013-01-01,717.629
2013-04-01,792.468
2013-07-01,802.613
2013-10-01,751.268
2014-01-01,860.403
2014-04-01,923.804
2014-07-01,950.714
2014-10-01,988.741
2015-01-01,1074.911
2015-04-01,1027.679
2015-07-01,1009.91
2015-10-01,1026.972
2016-01-01,1046.172
2016-04-01,969.635
2016-07-01,961.218
2016-10-01,974.32
2017-01-01,1030.346
2017-04-01,1113.979
2017-07-01,1119.004
2017-10-01,1031.717
2018-01-01,1097.098
2018-04-01,1124.258
2018-07-01,1193.327
2018-10-01,1306.515
2019-01-01,1505.282
2019-04-01,1410.559
2019-07-01,1421.796
2019-10-01,1448.879
2020-01-01,1801.182
2020-04-01,4852.129
2020-07-01,2923.898
2020-10-01,2392.146
2021-01-01,3988.728
2021-04-01,1978.577
2021-07-01,1669.072
2021-10-01,1337.087
2022-01-01,784.901
2022-04-01,591.144
2022-07-01,507.653
2022-10-01,552.858
